mean_temp,min_temp,max_temp,dewpoint_temp,pressure,humidity,cloud,rainfall,low_visibility_hour,sunshine,radiation,evaporation,wind_direction,wind_speed
28.1,25.8,30.7,24.8,1008.2,83,85,0,3,4.8,18.01,1.9,180,6.5
28.4,26,29.6,26,1007.4,87,84,29,0,0.4,10.47,0.2,210,26.7
29.3,27.1,31.2,26,1006.9,83,86,6.4,0,2.2,15.26,3.8,210,32
29.3,28.6,30.1,26.1,1006.4,84,86,0.1,0,0,6.86,1.5,210,30.9
29.4,27.8,30.6,26.2,1006.8,83,86,3.8,0,1.1,11.33,3.6,200,32.3
29.7,28.9,31.4,25.8,1007.6,80,83,0,0,2.1,12.31,4.3,200,30
29.8,28.7,31.4,25.5,1008.1,78,83,0,0,5.1,17.77,6.5,200,29.4
29.7,28.6,31.5,25.2,1008.2,77,74,0,0,8.3,23.47,3.3,200,23.3
29.5,27.9,31.5,25.5,1007.3,79,85,1.9,0,4.3,17.81,5.7,210,24.5
29.6,28.3,32,25.3,1007.5,78,76,1.4,0,4.7,17.7,4.4,190,20.5
29.3,27.9,31.5,25.4,1008.6,80,82,4.6,0,4.1,14.93,4.3,200,18.8
28,24.4,30.1,25.2,1007.7,85,84,41,0,1.9,10.68,5.5,200,16.4
29,25.6,30.2,26.1,1003.6,84,88,39,0,1,9.64,2.5,210,31.8
28.8,27.6,29.8,25.6,1001.8,83,88,2.9,0,0.1,8.48,1.8,220,32.7
26.1,25,27.8,24.9,1005.1,93,92,127.6,0,0,1.79,1.5,240,16.6
25.6,25,26.6,24.8,1006.9,95,88,44.2,0,0,1.96,1.4,150,17.8
25.5,24.5,28.6,24.9,1007.3,96,90,43.2,0,0.1,3.43,2.7,80,13.5
27.3,25,30.3,25.5,1009,90,54,0.1,0,6.4,19.05,3.7,40,13.9
29.1,26.9,32.7,25.5,1008.9,81,32,0,0,6.7,14.84,5.2,90,6.5
29.5,26.9,32.4,24.8,1008.4,76,33,0,0,11.8,27.96,6.3,210,10.2
30,27.8,32.8,25.1,1007.7,76,35,0,0,12.4,28.19,7.8,210,19.4
30.1,28.3,32.7,25.3,1008.4,76,46,0,0,10.1,24.41,6,220,26.7
30.1,28.7,32.7,25.9,1008.4,79,55,0,0,11.2,27.61,7.4,230,30.7
30.1,28.6,33,25.8,1006.7,78,54,0,0,11.1,27.07,7.2,220,36.8
30,28.8,31.7,25.9,1006.9,79,83,0,0,7.7,22.18,6.2,220,33.3
